anio,huelgas_ilegal,huelgas_procedente,trabajadores_comprendidos_ilegal,trabajadores_comprendidos_procedente,horas_hombre_perdidas_ilegal,horas_hombre_perdidas_procedente,huelgas_total_observado,trabajadores_comprendidos_total_observado,horas_hombre_perdidas_total_observado
1996,70.0,7.0,34211.0,2031.0,942174.0,457712.0,77.0,36242.0,1399886.0
1997,65.0,1.0,19076.0,120.0,316534.0,2880.0,66.0,19196.0,319414.0
1998,55.0,3.0,16986.0,347.0,296740.0,26428.0,58.0,17333.0,323168.0
1999,69.0,2.0,51243.0,837.0,710492.0,13768.0,71.0,52080.0,724260.0
2000,36.0,1.0,5272.0,8.0,180091.0,1600.0,37.0,5280.0,181691.0
2001,37.0,3.0,10513.0,537.0,433106.0,55824.0,40.0,11050.0,488930.0
2002,60.0,4.0,19231.0,3694.0,717536.0,195112.0,64.0,22925.0,912648.0
2003,64.0,4.0,17702.0,19621.0,275722.0,605640.0,68.0,37323.0,881362.0
2004,104.0,3.0,28033.0,1240.0,491696.0,90632.0,107.0,29273.0,582328.0
2005,63.0,2.0,18491.0,531.0,450242.0,28496.0,65.0,19022.0,478738.0
2006,65.0,2.0,18847.0,718.0,398192.0,48392.0,67.0,19565.0,446584.0
2007,71.0,2.0,46844.0,1252.0,2147944.0,68576.0,73.0,48096.0,2216520.0
2008,59.0,4.0,32787.0,1224.0,1446000.0,74960.0,63.0,34011.0,1520960.0
2009,91.0,8.0,32603.0,3511.0,1066370.0,386096.0,99.0,36114.0,1452466.0
2010,70.0,13.0,26437.0,4169.0,1043316.0,236064.0,83.0,30606.0,1279380.0
2011,65.0,19.0,20932.0,5838.0,1022288.0,777128.0,84.0,26770.0,1799416.0
2012,74.0,15.0,21843.0,4002.0,1185736.0,692960.0,89.0,25845.0,1878696.0
2013,69.0,25.0,20858.0,5878.0,1134272.0,438930.0,94.0,26736.0,1573202.0
2014,80.0,15.0,37102.0,3579.0,2745938.0,407080.0,95.0,40681.0,3153018.0
2015,41.0,6.0,30624.0,1442.0,1660440.0,265192.0,47.0,32066.0,1925632.0
2016,38.0,3.0,19118.0,1345.0,2839376.0,244680.0,41.0,20463.0,3084056.0
2017,39.0,6.0,54754.0,1856.0,2792102.0,214392.0,45.0,56610.0,3006494.0
2018,46.0,8.0,18710.0,2786.0,470238.0,268626.0,54.0,21496.0,738864.0
2019,65.0,2.0,109210.0,944.0,1952544.0,133312.0,67.0,110154.0,2085856.0
2020,23.0,0.0,127868.0,0.0,3653184.0,0.0,23.0,127868.0,3653184.0
2021,22.0,16.0,204005.0,5137.0,2498776.0,528464.0,38.0,209142.0,3027240.0
2022,31.0,10.0,27661.0,1484.0,1794532.0,328400.0,41.0,29145.0,2122932.0
2023,42.0,13.0,76276.0,1607.0,1353056.0,108953.0,55.0,77883.0,1462009.0
2024,47.0,16.0,74750.0,1954.0,2130660.0,164856.0,63.0,76704.0,2295516.0
