anio,archivo_homologado,carpeta_bloque,horas_hombre_perdidas,huelgas,trabajadores_comprendidos,resultado_general
1993,huelgas_1993_homologado.xlsx,era1_homologados,no_disponible,no_disponible,no_disponible,no_disponible
1994,huelgas_1994_homologado.xlsx,era1_homologados,no_disponible,no_disponible,no_disponible,no_disponible
1995,huelgas_1995_homologado.xlsx,era1_homologados,no_disponible,no_disponible,no_disponible,no_disponible
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,ok,ok,ok,ok
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,ok,ok,ok,ok
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,ok,ok,ok,ok
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,ok,ok,ok,ok
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,ok,ok,ok,ok
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,ok,ok,ok,ok
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,ok,ok,ok,ok
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,ok,ok,ok,ok
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,ok,ok,ok,ok
2021,huelgas_2021_homologado.xlsx,era3_homologados,ok,ok,ok,ok
2022,huelgas_2022_homologado.xlsx,era3_homologados,ok,ok,ok,ok
2023,huelgas_2023_homologado.xlsx,era3_homologados,ok,ok,ok,ok
2024,huelgas_2024_homologado.xlsx,era3_homologados,ok,ok,ok,ok
